            holm                                                      alias
04974 0.00122623                           Protein digestion and absorption
04512 0.10363381                                   ECM-receptor interaction
05146 1.00000000                                                 Amoebiasis
00400 1.00000000        Phenylalanine, tyrosine and tryptophan biosynthesis
00591 1.00000000                                   Linoleic acid metabolism
04510 1.00000000                                             Focal adhesion
00232 1.00000000                                        Caffeine metabolism
00592 1.00000000                            alpha-Linolenic acid metabolism
00590 1.00000000                                Arachidonic acid metabolism
00760 1.00000000                     Nicotinate and nicotinamide metabolism
04623 1.00000000                              Cytosolic DNA-sensing pathway
04662 1.00000000                          B cell receptor signaling pathway
04975 1.00000000                               Fat digestion and absorption
04972 1.00000000                                       Pancreatic secretion
03410 1.00000000                                       Base excision repair
00983 1.00000000                            Drug metabolism - other enzymes
03020 1.00000000                                             RNA polymerase
00970 1.00000000                                Aminoacyl-tRNA biosynthesis
00565 1.00000000                                     Ether lipid metabolism
00600 1.00000000                                    Sphingolipid metabolism
05131 1.00000000                                                Shigellosis
00770 1.00000000                          Pantothenate and CoA biosynthesis
04640 1.00000000                                 Hematopoietic cell lineage
00564 1.00000000                             Glycerophospholipid metabolism
00980 1.00000000               Metabolism of xenobiotics by cytochrome P450
04150 1.00000000                                     mTOR signaling pathway
00061 1.00000000                                    Fatty acid biosynthesis
00310 1.00000000                                         Lysine degradation
00290 1.00000000                Valine, leucine and isoleucine biosynthesis
00240 1.00000000                                      Pyrimidine metabolism
03015 1.00000000                                  mRNA surveillance pathway
05142 1.00000000                  Chagas disease (American trypanosomiasis)
04370 1.00000000                                     VEGF signaling pathway
04140 1.00000000                                    Regulation of autophagy
00512 1.00000000                           Mucin type O-Glycan biosynthesis
00785 1.00000000                                     Lipoic acid metabolism
04141 1.00000000                Protein processing in endoplasmic reticulum
05221 1.00000000                                     Acute myeloid leukemia
05340 1.00000000                                   Primary immunodeficiency
00603 1.00000000              Glycosphingolipid biosynthesis - globo series
05412 1.00000000     Arrhythmogenic right ventricular cardiomyopathy (ARVC)
00051 1.00000000                            Fructose and mannose metabolism
04622 1.00000000                      RIG-I-like receptor signaling pathway
04144 1.00000000                                                Endocytosis
04740 1.00000000                                     Olfactory transduction
00230 1.00000000                                          Purine metabolism
00562 1.00000000                              Inositol phosphate metabolism
00620 1.00000000                                        Pyruvate metabolism
04120 1.00000000                             Ubiquitin mediated proteolysis
04744 1.00000000                                          Phototransduction
04115 1.00000000                                      p53 signaling pathway
04210 1.00000000                                                  Apoptosis
05120 1.00000000 Epithelial cell signaling in Helicobacter pylori infection
04664 1.00000000                            Fc epsilon RI signaling pathway
04730 1.00000000                                       Long-term depression
